"","date","recgroup","individuals_at_receiver","total_individuals","proportion","avg_depth"
"409",2021-02-08,"Central",2,4,50,6.28183329292929
"410",2021-02-08,"East End",1,4,25,3.95076242424242
"411",2021-02-08,"West End",1,4,25,5.56592511013216
"412",2021-02-09,"Central",1,4,25,5.02129261744966
"413",2021-02-09,"East End",1,4,25,3.95076242424242
"414",2021-02-09,"West End",2,4,50,5.68841072981815
"415",2021-02-10,"Central",1,4,25,3.34114197730956
"416",2021-02-10,"East End",1,4,25,3.95076242424242
"417",2021-02-10,"West End",2,4,50,5.4032642717645
"418",2021-02-11,"Central",2,4,50,3.75305271515468
"419",2021-02-11,"East End",1,4,25,3.95076242424242
"420",2021-02-11,"West End",1,4,25,4.92494896401309
"421",2021-02-12,"Central",1,4,25,5.61166318147872
"422",2021-02-12,"East End",1,4,25,3.95076242424242
"423",2021-02-12,"North shore",1,4,25,2.0014178680203
"424",2021-02-12,"West End",1,4,25,4.93573323741007
"425",2021-02-13,"East End",1,4,25,3.95076242424242
"426",2021-02-13,"West End",3,4,75,4.05347773774679
"427",2021-02-14,"East End",1,4,25,3.95076242424242
"428",2021-02-14,"North shore",1,4,25,5.39107727891157
"429",2021-02-14,"West End",2,4,50,2.91344983428627
"430",2021-02-15,"East End",1,4,25,3.95076242424242
"431",2021-02-15,"North shore",1,4,25,2.45576845070423
"432",2021-02-15,"West End",2,4,50,2.42083445109561
"433",2021-02-16,"East End",2,4,50,3.01809703133025
"434",2021-02-16,"West End",2,4,50,2.54268008058608
"435",2021-02-17,"East End",1,4,25,3.95076242424242
"436",2021-02-17,"North shore",1,4,25,1.9330146179402
"437",2021-02-17,"West End",2,4,50,2.47360741261565
"438",2021-02-18,"East End",1,4,25,3.95076242424242
"439",2021-02-18,"North shore",1,4,25,1.36621920768307
"440",2021-02-18,"West End",2,4,50,2.45220417109949
"441",2021-02-19,"East End",1,4,25,3.95076242424242
"442",2021-02-19,"North shore",1,4,25,1.6476015128593
"443",2021-02-19,"West End",2,4,50,2.44196307063506
"444",2021-02-20,"East End",1,4,25,3.95076242424242
"445",2021-02-20,"North shore",1,4,25,1.368669035533
"446",2021-02-20,"West End",2,4,50,2.53927385002213
"447",2021-02-21,"East End",1,4,25,3.95076242424242
"448",2021-02-21,"North shore",1,4,25,1.51511913530825
"449",2021-02-21,"West End",2,4,50,2.5123941902438
"450",2021-02-22,"East End",1,4,25,3.95076242424242
"451",2021-02-22,"North shore",1,4,25,2.27861931034483
"452",2021-02-22,"West End",2,4,50,2.56398776783037
"453",2021-02-23,"East End",1,4,25,3.95076242424242
"454",2021-02-23,"North shore",1,4,25,2.53358670788253
"455",2021-02-23,"West End",2,4,50,2.73075403368083
"456",2021-02-24,"Central",1,4,25,2.29459282758621
"457",2021-02-24,"East End",1,4,25,3.95076242424242
"458",2021-02-24,"West End",2,4,50,2.69975932360168
"459",2021-02-25,"East End",1,4,25,3.95076242424242
"460",2021-02-25,"West End",3,4,75,2.59787405815545
"461",2021-02-26,"East End",1,4,25,3.95076242424242
"462",2021-02-26,"West End",3,4,75,2.43680559672835
"463",2021-02-27,"East End",1,4,25,3.95076242424242
"464",2021-02-27,"West End",3,4,75,2.4014570149926
"465",2021-02-28,"East End",1,4,25,3.95076242424242
"466",2021-02-28,"West End",3,4,75,2.29876741749258
"467",2021-03-01,"East End",1,4,25,3.95076242424242
"468",2021-03-01,"West End",3,4,75,2.29392664455963
"469",2021-03-02,"East End",1,4,25,3.95076242424242
"470",2021-03-02,"West End",3,4,75,2.52668931192967
"471",2021-03-03,"East End",1,4,25,3.95076242424242
"472",2021-03-03,"West End",3,4,75,2.32592985044542
"473",2021-03-04,"East End",1,4,25,3.95076242424242
"474",2021-03-04,"West End",3,4,75,2.29758232224979
"475",2021-03-05,"East End",1,4,25,3.95076242424242
"476",2021-03-05,"West End",3,4,75,2.54387798445155
"477",2021-03-06,"East End",1,4,25,3.95076242424242
